order_id,stu_account,date,stu_address,phone_number,order_amount,in_delivery
o62362186,t10006508,2020/5/8,56049,30985996,10,F
o51494696,t10001629,2021/3/8,58743,57335228,7,T
o51488678,t10000095,2021/7/25,97943,80954227,9,T
o10197791,t10011863,2020/5/1,46631,16802984,1,T
o95554779,t10003617,2021/3/10,19044,50585665,8,F
o67238183,t10007928,2020/4/20,22743,50365054,7,F
o80451818,t10003631,2020/3/31,17630,32220948,3,F
o23641778,t10009888,2019/12/13,87556,67016415,3,F
o11558591,t10001369,2020/12/26,47733,60375685,1,F
o92068936,t10011602,2020/11/7,32832,73058324,10,T
o78697806,t10004332,2021/7/27,25831,68339820,1,F
o25433671,t10011134,2021/1/25,72147,81362664,2,F
o44001254,t10010560,2021/7/14,59649,50497695,4,T
o65178066,t10003617,2020/2/11,84004,51085050,1,T
o82091281,t10009612,2021/5/29,96908,93757292,3,F
o45136205,t10003778,2019/12/26,12713,33059204,2,F
o94450570,t10006372,2021/3/17,75199,73315725,6,F
o15818588,t10007621,2021/1/11,21201,54328320,1,F
o88317397,t10010894,2021/1/26,50219,20973224,2,T
o89537791,t10009098,2020/9/19,97514,41121110,5,T
o66367575,t10004272,2020/6/13,83372,46359803,3,T
o60699590,t10005751,2020/3/6,13011,18381143,3,F
o95355132,t10001986,2019/12/13,93072,55246061,6,F
o53096207,t10010397,2021/2/15,52227,39510544,3,T
o20201435,t10005500,2020/3/13,97757,69754336,9,F
o91751578,t10007390,2021/2/20,88056,36258735,3,T
o64896250,t10000015,2021/12/7,32114,74703218,5,T
o39608689,t10004782,2020/5/22,49691,95553831,8,F
o44900286,t10005269,2019/12/14,31209,87272309,1,F
o19255552,t10000616,2019/12/19,26771,53632320,7,T
o27358306,t10003715,2020/8/14,51686,70096463,8,F
o33175276,t10002798,2020/4/13,62170,81440226,3,T
o92276919,t10010316,2021/1/15,33518,91387029,1,F
o21318687,t10000249,2020/5/11,68637,35267848,5,T
o98025978,t10010507,2021/8/9,40284,31110073,3,F
o64780997,t10006836,2020/7/2,86532,12104068,2,F
o10134440,t10000978,2020/9/12,96460,89549233,1,F
o18433309,t10003227,2020/9/1,50224,84732542,3,F
o98991757,t10009675,2020/2/25,68387,79198107,1,F
o12731997,t10009903,2019/12/20,84841,35043899,6,F
o85731498,t10007918,2021/12/14,38054,40535460,7,F
o58459880,t10010646,2021/2/15,13863,12148325,5,F
o26645401,t10011982,2020/6/5,15544,42499834,8,F
o75087941,t10012496,2020/8/19,14989,22103158,1,F
o19537262,t10001161,2021/6/12,76823,93944273,6,F
o87272913,t10000870,2020/10/3,53551,25439296,10,F
o20689852,t10010553,2019/11/2,54458,41658716,4,F
o71371668,t10006812,2021/4/12,43502,22203693,7,F
o91623600,t10011422,2021/2/8,49132,38786500,5,T
o61317943,t10001755,2021/1/27,55686,47531757,3,F
o81497096,t10010300,2021/2/14,71111,54106609,2,T
o80836177,t10005278,2021/5/14,11264,75427878,5,T
o45471613,t10000061,2020/7/3,82115,24402451,1,T
o78874634,t10010464,2020/9/25,78435,37700255,7,F
o74534595,t10003723,2020/9/3,12017,77313277,2,F
o61605492,t10000424,2021/11/1,63187,16237017,10,F
o95493302,t10001737,2019/12/26,76885,53283383,10,T
o24316507,t10001994,2019/11/25,24969,57507540,9,T
o53743354,t10009972,2021/8/7,91465,90731102,5,T
o23187383,t10009657,2020/6/22,87156,78610857,3,T
o92978607,t10004005,2021/1/21,11140,28588535,4,F
o58075322,t10009126,2020/9/20,74945,14572712,5,F
o60838031,t10004293,2021/11/2,50080,63360306,5,F
o76003577,t10009834,2020/3/12,97464,61840181,4,T
o75159078,t10012305,2021/5/21,19842,13790420,1,F
o21471657,t10002583,2020/6/30,19245,62979497,3,F
o98867988,t10003155,2021/12/19,14665,53543009,4,F
o89662781,t10010992,2020/8/16,79355,84079788,4,T
o87292234,t10010376,2020/12/11,27305,56882637,9,F
o74511221,t10009648,2021/6/22,95219,40161944,1,T
o37083514,t10001112,2020/9/11,68604,35445941,2,F
o39255614,t10011711,2021/12/18,41215,21529419,9,F
o19917076,t10011811,2020/9/5,29209,77850074,6,F
o40366179,t10001405,2020/5/14,87704,44923316,10,F
o26629904,t10001535,2020/8/3,89012,87973483,5,T
o41630278,t10011084,2021/9/14,53780,42741138,2,F
o15222709,t10005321,2020/1/4,30446,50110256,10,F
o88994597,t10002281,2021/2/25,12322,69813238,7,T
o17783620,t10006907,2020/2/26,55238,46738924,6,T
o20665176,t10006851,2021/5/30,50219,55323024,9,T
o69101447,t10009998,2021/10/28,80378,77606927,2,F
o31787145,t10011179,2021/7/11,53136,71594945,10,F
o18482543,t10004441,2021/11/21,94801,65159059,2,F
o56994968,t10004441,2021/12/12,22092,38159296,4,F
o51830104,t10009823,2020/9/3,73901,94575634,3,F
o88063388,t10004965,2020/8/2,24861,33397513,8,T
o85206001,t10001032,2020/5/24,57374,74212435,4,T
o13152329,t10009011,2021/9/3,36183,65243153,1,F
o10636632,t10004330,2020/11/16,49862,56884098,2,T
o60957539,t10008134,2021/6/13,77971,28762243,7,T
o27809477,t10000230,2021/5/1,90720,16489484,3,T
o92541709,t10001014,2021/1/13,18096,25483515,7,F
o29700109,t10004837,2019/12/3,57651,77794626,10,F
o81175029,t10001440,2021/10/30,76988,52967256,1,T
o68708957,t10009502,2020/5/22,44550,60502195,3,T
